area,bedrooms,age,price
3476,1,4,516579
2459,1,19,322176
2163,2,10,316010
3098,1,1,475312
2885,3,2,484400
3419,5,22,553595
1140,2,11,189890
2302,1,19,308322
3020,3,4,485780
2469,3,36,320661
2698,1,37,322080
1938,5,29,286056
3869,1,8,561140
2134,2,33,268011
762,1,34,36663
2287,3,21,340099
2691,1,23,344831
2893,5,16,505775
1123,4,9,217532
1516,1,29,141061
1380,5,22,258412
2549,5,31,372270
3444,3,16,534258
1827,5,16,320075
2801,5,13,470096
952,5,8,227506
3608,5,39,543204
1683,2,1,285759
3562,2,24,515420
2556,3,38,339427
3804,1,8,553605
3670,5,21,568456
2182,1,3,353139
3363,1,25,438045
2755,3,28,382053
1654,5,33,255063
903,5,22,185671
2699,4,36,396293
2601,1,10,393873
3691,1,5,577713
2196,2,17,313682
1127,4,20,173753
1086,2,35,84463
2148,2,37,257049
1943,2,33,244310
1945,3,16,315335
603,3,36,44465
753,2,24,72953
3798,4,37,545658
3683,1,11,545467
3057,4,22,463721
1996,5,21,328601
598,3,20,99126
2700,1,26,344778
2384,1,30,288716
3461,5,5,617447
2419,5,26,384192
1377,2,39,137040
837,3,33,86525
3369,3,11,539073
3734,4,6,625379
1456,2,9,224165
2204,2,16,314161
660,2,25,44525
2103,2,20,298311
3348,3,27,494342
897,3,1,198466
1800,2,0,294648
1315,4,35,187383
2027,1,25,259573
2419,1,28,307902
1915,4,20,321664
1658,2,10,271481
1718,3,39,185299
900,1,10,140046
1139,5,35,181773
3604,5,38,510414
3235,4,39,464234
959,2,34,88466
1454,1,33,121213
969,2,23,110110
3946,1,21,550827
1545,4,4,300689
3297,4,32,490969
2193,5,35,316538
2585,2,19,386892
2777,5,18,481748
3936,2,34,541797
1062,5,16,207953
2985,3,33,399581
2299,3,8,366574
3854,3,25,554183
2574,3,1,442916
725,1,8,91026
3848,3,8,631863
1297,4,39,151544
2831,4,16,460149
3426,1,0,536940
1459,3,24,203809
2004,3,39,229699
952,3,24,130376
3567,5,38,536996
1315,2,34,121366
1158,5,2,263263
1046,2,36,95688
1715,3,29,237178
3620,3,37,508336
516,5,33,68247
3743,5,11,634605
1743,2,18,241585
2705,4,36,375524
3024,2,16,427342
1569,5,9,306659
3944,5,11,639219
3065,1,15,432408
2646,5,23,442607
2268,1,18,306537
1560,4,7,289001
2827,2,30,355018
3920,2,20,573892
3044,1,16,434219
801,2,22,74431
680,5,36,101420
1106,3,15,176260
3670,1,5,574530
1199,2,7,179908
1492,1,24,172477
1639,1,17,205574
690,3,24,99904
2800,5,11,504946
1480,1,14,219748
3475,2,25,496106
2506,4,25,370100
1684,1,31,193597
3827,1,9,572661
3894,3,15,614157
627,5,6,157289
2565,4,16,434888
2316,2,22,301525
2258,4,25,347557
3113,2,20,442348
1069,5,21,183988
1846,2,6,285470
2395,3,13,363499
3233,3,14,492060
1125,3,6,204355
3859,3,8,606965
3401,4,7,588212
2186,5,22,364811
3509,2,28,500875
654,2,17,99656
3037,3,30,418145
1909,3,29,241319
1284,1,38,95875
3675,5,34,533720
3964,4,17,613825
745,2,38,40946
3747,1,16,527719
3610,1,13,539880
2000,2,30,268006
2205,4,23,337327
3306,1,34,416373
1037,1,33,85175
2390,5,2,448004
2341,4,36,327239
1420,1,39,132487
2955,4,25,428552
1024,2,22,139063
3375,3,38,461509
2029,1,14,299558
3450,5,3,619159
535,2,28,52090
1184,4,21,206490
519,2,24,39448
2868,1,12,413708
3059,4,17,481230
899,3,32,105834
3201,2,15,463275
1471,1,1,253709
2406,5,34,342933
3018,4,33,451573
1666,2,29,199987
1615,2,12,231954
3925,3,12,600598
1333,3,17,210542
2323,5,31,342374
3274,5,31,505308
2482,1,34,289914
1353,1,38,89438
550,5,28,118382
1074,5,28,183023
3761,4,15,615091
1648,3,9,289365
2697,1,29,319217
2861,3,24,423363
3117,3,38,397664
3913,5,19,646271
2852,4,4,483561
